time x1 y1 x2 y2
0.000000000000000000e+00 3.999777217416680131e-01 4.221624135902406726e-03 7.999776907278524085e-01 4.064108893729439717e-03
1.000000000000000021e-03 3.999774655360848197e-01 4.245828933210377999e-03 7.999774214675059447e-01 4.058066154151825783e-03
2.000000000000000042e-03 3.999773385740855169e-01 4.257772562193072423e-03 7.999772791665076266e-01 4.039767840134563144e-03
3.000000000000000062e-03 3.999773419544538355e-01 4.257454996817333463e-03 7.999772649249783374e-01 4.009214036314438963e-03
4.000000000000000083e-03 3.999774756482076254e-01 4.244876215804557242e-03 7.999773787152549831e-01 3.966404758164306273e-03
5.000000000000000104e-03 3.999777384985863105e-01 4.220036203224287151e-03 7.999776193818487480e-01 3.911339951416869555e-03
6.000000000000000125e-03 3.999781282210477240e-01 4.182934948949609995e-03 7.999779846414135642e-01 3.844019492319197730e-03
7.000000000000000146e-03 3.999786414032743265e-01 4.133572448973646743e-03 7.999784710827245737e-01 3.764443188717248989e-03
8.000000000000000167e-03 3.999792735051893589e-01 4.071948705587930678e-03 7.999790741666681360e-01 3.672610781970493329e-03
9.000000000000001055e-03 3.999800188589818783e-01 3.998063727422041490e-03 7.999797882262418280e-01 3.568521949696442860e-03
1.000000000000000021e-02 3.999808706691403981e-01 3.911917529345088594e-03 7.999806064665664351e-01 3.452176309345948973e-03
1.099999999999999936e-02 3.999818210124947981e-01 3.813510132228158968e-03 7.999815209649079328e-01 3.323573422607317002e-03
1.200000000000000025e-02 3.999828608382645645e-01 3.702841562569004520e-03 7.999825226707104608e-01 3.182712800641218989e-03
1.300000000000000114e-02 3.999839799681133012e-01 3.579911851977718700e-03 7.999836014056378453e-01 3.029593910144711029e-03
1.400000000000000029e-02 3.999851670962069061e-01 3.444721036524604936e-03 7.999847458636248909e-01 2.864216180245293675e-03
1.499999999999999944e-02 3.999864097892742443e-01 3.297269155949227298e-03 7.999859436109350019e-01 2.686579010223995832e-03
1.600000000000000033e-02 3.999876944866691542e-01 3.137556252731589675e-03 7.999871810862243526e-01 2.496681778067723258e-03
1.700000000000000122e-02 3.999890065004295669e-01 2.965582371024785575e-03 7.999884436006099442e-01 2.294523849850921109e-03
1.800000000000000211e-02 3.999903300153340169e-01 2.781347555449540949e-03 7.999897153377408809e-01 2.080104589945725238e-03
1.899999999999999953e-02 3.999916480889505466e-01 2.584851849750974435e-03 7.999909793538690916e-01 1.853423372061812225e-03
2.000000000000000042e-02 3.999929426516767861e-01 2.376095295316770547e-03 7.999922175779186073e-01 1.614479591113905047e-03
2.100000000000000130e-02 3.999941945067672644e-01 2.155077929557635327e-03 7.999934108115499543e-01 1.363272675918499564e-03
2.199999999999999872e-02 3.999953833303450113e-01 1.921799784149608170e-03 7.999945387292179966e-01 1.099802102719129628e-03
2.299999999999999961e-02 3.999964876713940076e-01 1.676260883138509968e-03 7.999955798782183436e-01 8.240674095400828863e-04
2.400000000000000050e-02 3.999974849517282660e-01 1.418461240906295114e-03 7.999965116787209896e-01 5.360682113688696772e-04
2.500000000000000139e-02 3.999983514659338768e-01 1.148400859999733912e-03 7.999973104237863009e-01 2.358042161678690265e-04
2.600000000000000228e-02 3.999990623812803014e-01 8.660797288207794029e-04 7.999979512793610192e-01 -7.672475828532419970e-05
2.699999999999999969e-02 3.999995917375950283e-01 5.714978191788264638e-04 7.999984082842488409e-01 -4.015187667281985232e-04
2.800000000000000058e-02 3.999999124470987599e-01 2.646550837054393148e-04 7.999986543500524627e-01 -7.385777179130769950e-04
2.900000000000000147e-02 3.999999962941946929e-01 -5.444854686978886486e-05 7.999986612610827663e-01 -1.087901355276864844e-03
2.999999999999999889e-02 3.999998139352073934e-01 -3.858131665812388074e-04 7.999983996742293657e-01 -1.449489236779432635e-03
3.099999999999999978e-02 3.999993348980661056e-01 -7.294388972278558186e-04 7.999978391187887450e-01 -1.823340713909590415e-03
3.200000000000000067e-02 3.999985275819264996e-01 -1.085325891512655631e-03 7.999969479962452112e-01 -2.209454909858094701e-03
3.300000000000000155e-02 3.999973592567251934e-01 -1.453474336320800158e-03 7.999956935799982238e-01 -2.607830696855839743e-03
3.400000000000000244e-02 3.999957960626605580e-01 -1.833884456137353835e-03 7.999940420150299936e-01 -3.018466672676657463e-03
3.500000000000000333e-02 3.999938030095946395e-01 -2.226556516604261734e-03 7.999919583175110205e-01 -3.441361136301430632e-03
3.600000000000000422e-02 3.999913439763678191e-01 -2.631490828217624908e-03 7.999894063743320238e-01 -3.876512062743093200e-03
3.699999999999999817e-02 3.999883817100216565e-01 -3.048687750165215982e-03 7.999863489425613761e-01 -4.323917077029618833e-03
3.799999999999999906e-02 3.999848778249205372e-01 -3.478147694305344997e-03 7.999827476488179379e-01 -4.783573427342292794e-03
3.899999999999999994e-02 3.999807928017666825e-01 -3.919871129287302337e-03 7.999785629885527438e-01 -5.255477957306572273e-03
4.000000000000000083e-02 3.999760859865000295e-01 -4.373858584814068265e-03 7.999737543252349870e-01 -5.739627077432495061e-03
4.100000000000000172e-02 3.999707155890756538e-01 -4.840110656048568667e-03 7.999682798894308666e-01 -6.236016735701039627e-03
