time x1 y1 x2 y2
0.000000000000000000e+00 2.839600062566902672e-01 -2.817209875864779001e-01 5.705383943670880864e-01 -5.607780202304273320e-01
1.000000000000000021e-03 2.839458772443110290e-01 -2.817352281770220124e-01 5.705412387139678909e-01 -5.607748289222866944e-01
2.000000000000000042e-03 2.839257299337971663e-01 -2.817555321223710885e-01 5.705382915617494000e-01 -5.607774658785962263e-01
3.000000000000000062e-03 2.838995650347861943e-01 -2.817818961059407878e-01 5.705295568454900046e-01 -5.607859243825875639e-01
4.000000000000000083e-03 2.838673832594280633e-01 -2.818143160335276343e-01 5.705150390553324069e-01 -5.608001963692764713e-01
5.000000000000000104e-03 2.838291853227671302e-01 -2.818527870343210395e-01 5.704947432381428651e-01 -5.608202724247628446e-01
6.000000000000000125e-03 2.837849719432112283e-01 -2.818973034620779194e-01 5.704686749994768435e-01 -5.608461417854287978e-01
7.000000000000000146e-03 2.837347438430879443e-01 -2.819478588964585142e-01 5.704368405058684033e-01 -5.608777923370373841e-01
8.000000000000000167e-03 2.836785017492874927e-01 -2.820044461445235795e-01 5.703992464874455548e-01 -5.609152106137280658e-01
9.000000000000001055e-03 2.836162463939920220e-01 -2.820670572423912281e-01 5.703559002408669087e-01 -5.609583817969108210e-01
1.000000000000000021e-02 2.835479785154901289e-01 -2.821356834570543648e-01 5.703068096325785152e-01 -5.610072897140578885e-01
1.099999999999999936e-02 2.834736988590767504e-01 -2.822103152883563282e-01 5.702519831023893371e-01 -5.610619168373913723e-01
1.200000000000000025e-02 2.833934081780377645e-01 -2.822909424711251836e-01 5.701914296673633586e-01 -5.611222442824683743e-01
1.300000000000000114e-02 2.833071072347175257e-01 -2.823775539774652232e-01 5.701251589260246666e-01 -5.611882518066602099e-01
1.400000000000000029e-02 2.832147968016703321e-01 -2.824701380192047862e-01 5.700531810628743923e-01 -5.612599178075281525e-01
1.499999999999999944e-02 2.831164776628934954e-01 -2.825686820504996200e-01 5.699755068532162960e-01 -5.613372193210917072e-01
1.600000000000000033e-02 2.830121506151419553e-01 -2.826731727705906749e-01 5.698921476682869969e-01 -5.614201320199923018e-01
1.700000000000000122e-02 2.829018164693236637e-01 -2.827835961267151088e-01 5.698031154806899590e-01 -5.615086302115468442e-01
1.800000000000000211e-02 2.827854760519738497e-01 -2.828999373171696696e-01 5.697084228701285724e-01 -5.616026868356959190e-01
1.899999999999999953e-02 2.826631302068086660e-01 -2.830221807945249024e-01 5.696080830294349973e-01 -5.617022734628401848e-01
2.000000000000000042e-02 2.825347797963554952e-01 -2.831503102689893470e-01 5.695021097708912183e-01 -5.618073602915680809e-01
2.100000000000000130e-02 2.824004257036599741e-01 -2.832843087119222281e-01 5.693905175328397572e-01 -5.619179161462712901e-01
2.199999999999999872e-02 2.822600688340682895e-01 -2.834241583594931391e-01 5.692733213865780462e-01 -5.620339084746484026e-01
2.299999999999999961e-02 2.821137101170831385e-01 -2.835698407164880530e-01 5.691505370435350208e-01 -5.621553033450934489e-01
2.400000000000000050e-02 2.819613505082925187e-01 -2.837213365602591075e-01 5.690221808627231592e-01 -5.622820654439710797e-01
2.500000000000000139e-02 2.818029909913697950e-01 -2.838786259448181082e-01 5.688882698584634134e-01 -5.624141580727732848e-01
2.600000000000000228e-02 2.816386325801434332e-01 -2.840416882050713632e-01 5.687488217083784825e-01 -5.625515431451598714e-01
2.699999999999999969e-02 2.814682763207353999e-01 -2.842105019611944616e-01 5.686038547616478755e-01 -5.626941811838782614e-01
2.800000000000000058e-02 2.812919232937666214e-01 -2.843850451231459409e-01 5.684533880475231005e-01 -5.628420313175617196e-01
2.900000000000000147e-02 2.811095746166269449e-01 -2.845652948953176220e-01 5.682974412840949840e-01 -5.629950512774051230e-01
2.999999999999999889e-02 2.809212314458096604e-01 -2.847512277813211701e-01 5.681360348873096822e-01 -5.631531973937153879e-01
3.099999999999999978e-02 2.807268949793074175e-01 -2.849428195889078808e-01 5.679691899802286059e-01 -5.633164245923345526e-01
3.200000000000000067e-02 2.805265664590680941e-01 -2.851400454350213609e-01 5.677969284025244923e-01 -5.634846863909332981e-01
3.300000000000000155e-02 2.803202471735094514e-01 -2.853428797509806047e-01 5.676192727202119537e-01 -5.636579348951735735e-01
3.400000000000000244e-02 2.801079384600892452e-01 -2.855512962877928551e-01 5.674362462356018488e-01 -5.638361207947362175e-01
3.500000000000000333e-02 2.798896417079304033e-01 -2.857652681215937518e-01 5.672478729974788081e-01 -5.640191933592126894e-01
3.600000000000000422e-02 2.796653583604979398e-01 -2.859847676592134902e-01 5.670541778114922549e-01 -5.642071004338558016e-01
3.699999999999999817e-02 2.794350899183257186e-01 -2.862097666438677690e-01 5.668551862507560379e-01 -5.643997884351903416e-01
3.799999999999999906e-02 2.791988379417914001e-01 -2.864402361609718062e-01 5.666509246666517896e-01 -5.645972023464753686e-01
