time x1 y1 x2 y2
0.000000000000000000e+00 2.841547094348400027e-01 2.815246012447253920e-01 5.656566828013385173e-01 5.657017273311983896e-01
1.000000000000000021e-03 2.841451782265986270e-01 2.815342211713782183e-01 5.656740265709503390e-01 5.656847227544354872e-01
2.000000000000000042e-03 2.841418913453082062e-01 2.815375384965760897e-01 5.656978388940895330e-01 5.656611883392245188e-01
3.000000000000000062e-03 2.841448476144954882e-01 2.815345548491963168e-01 5.657281159139742055e-01 5.656311282424419939e-01
4.000000000000000083e-03 2.841540458420019344e-01 2.815252710355173327e-01 5.657648542648416878e-01 5.655945452969809439e-01
5.000000000000000104e-03 2.841694848199626255e-01 2.815096870396417983e-01 5.658080510722283130e-01 5.655514410114270696e-01
6.000000000000000125e-03 2.841911633246889113e-01 2.814878020237466805e-01 5.658577039528833730e-01 5.655018155698139370e-01
7.000000000000000146e-03 2.842190801164534708e-01 2.814596143281608009e-01 5.659138110143188127e-01 5.654456678314609963e-01
8.000000000000000167e-03 2.842532339391783958e-01 2.814251214712694127e-01 5.659763708539908844e-01 5.653829953308928680e-01
9.000000000000001055e-03 2.842936235200256290e-01 2.813843201492470247e-01 5.660453825581177600e-01 5.653137942778427849e-01
1.000000000000000021e-02 2.843402475688913689e-01 2.813372062356160885e-01 5.661208457001307703e-01 5.652380595573364142e-01
1.099999999999999936e-02 2.843931047778018306e-01 2.812837747806336552e-01 5.662027603387597141e-01 5.651557847298610548e-01
1.200000000000000025e-02 2.844521938202122513e-01 2.812240200105041166e-01 5.662911270157506838e-01 5.650669620316168817e-01
1.300000000000000114e-02 2.845175133502081954e-01 2.811579353264176961e-01 5.663859467532174063e-01 5.649715823748522325e-01
1.400000000000000029e-02 2.845890620016088834e-01 2.810855133034152464e-01 5.664872210506233241e-01 5.648696353482832722e-01
1.499999999999999944e-02 2.846668383869713215e-01 2.810067456890776305e-01 5.665949518813946373e-01 5.647611092175979230e-01
1.600000000000000033e-02 2.847508410964973979e-01 2.809216234020394665e-01 5.667091416891618660e-01 5.646459909260445054e-01
1.700000000000000122e-02 2.848410686968407268e-01 2.808301365303262354e-01 5.668297933836305980e-01 5.645242660951057534e-01
1.800000000000000211e-02 2.849375197298140150e-01 2.807322743295146417e-01 5.669569103360760920e-01 5.643959190252574309e-01
1.899999999999999953e-02 2.850401927109969535e-01 2.806280252207140613e-01 5.670904963744645144e-01 5.642609326968137662e-01
2.000000000000000042e-02 2.851490861282435785e-01 2.805173767883685776e-01 5.672305557781944785e-01 5.641192887708583736e-01
2.100000000000000130e-02 2.852641984400873243e-01 2.804003157778793831e-01 5.673770932724591098e-01 5.639709675902613295e-01
2.199999999999999872e-02 2.853855280740459355e-01 2.802768280930444389e-01 5.675301140222268614e-01 5.638159481807838436e-01
2.299999999999999961e-02 2.855130734248220725e-01 2.801468987933155019e-01 5.676896236258349715e-01 5.636542082522697505e-01
2.400000000000000050e-02 2.856468328524021105e-01 2.800105120908710776e-01 5.678556281081970081e-01 5.634857241999245980e-01
2.500000000000000139e-02 2.857868046800493556e-01 2.798676513475026884e-01 5.680281339136183938e-01 5.633104711056827751e-01
2.600000000000000228e-02 2.859329871921939548e-01 2.797182990713132922e-01 5.682071478982193558e-01 5.631284227396624598e-01
2.699999999999999969e-02 2.860853786322147818e-01 2.795624369132274634e-01 5.683926773219580841e-01 5.629395515617114931e-01
2.800000000000000058e-02 2.862439772001165728e-01 2.794000456633090046e-01 5.685847298402553207e-01 5.627438287230401848e-01
2.900000000000000147e-02 2.864087810500969833e-01 2.792311052468861576e-01 5.687833134952119396e-01 5.625412240679454889e-01
2.999999999999999889e-02 2.865797882880066760e-01 2.790555947204808596e-01 5.689884367064195203e-01 5.623317061356252200e-01
3.099999999999999978e-02 2.867569969686974973e-01 2.788734922675412675e-01 5.692001082613563634e-01 5.621152421620840833e-01
3.200000000000000067e-02 2.869404050932600203e-01 2.786847751939740547e-01 5.694183373053665065e-01 5.618917980821303004e-01
3.300000000000000155e-02 2.871300106061482338e-01 2.784894199234743128e-01 5.696431333312163003e-01 5.616613385314652707e-01
3.400000000000000244e-02 2.873258113921904888e-01 2.782874019926510623e-01 5.698745061682248814e-01 5.614238268488666028e-01
3.500000000000000333e-02 2.875278052734842604e-01 2.780786960459454837e-01 5.701124659709599918e-01 5.611792250784650715e-01
3.600000000000000422e-02 2.877359900061750575e-01 2.778632758303377082e-01 5.703570232074998136e-01 5.609274939721150544e-01
3.699999999999999817e-02 2.879503632771158173e-01 2.776411141898422752e-01 5.706081886472476050e-01 5.606685929918626687e-01
3.799999999999999906e-02 2.881709227004068952e-01 2.774121830597858773e-01 5.708659733483001375e-01 5.604024803125098320e-01
3.899999999999999994e-02 2.883976658138143745e-01 2.771764534608657238e-01 5.711303886443606093e-01 5.601291128242750217e-01
4.000000000000000083e-02 2.886305900750645859e-01 2.769338954929858598e-01 5.714014461311893722e-01 5.598484461355542896e-01
4.100000000000000172e-02 2.888696928580136158e-01 2.766844783288662790e-01 5.716791576525870333e-01 5.595604345757819731e-01
4.200000000000000261e-02 2.891149714486894728e-01 2.764281702074219971e-01 5.719635352859033794e-01 5.592650311983924372e-01
4.300000000000000350e-02 2.893664230412050786e-01 2.761649384269088681e-01 5.722545913270635776e-01 5.589621877838851782e-01
4.399999999999999745e-02 2.896240447335401424e-01 2.758947493378305360e-01 5.725523382751052104e-01 5.586518548429937336e-01
4.499999999999999833e-02 2.898878335231899195e-01 2.756175683356040240e-01 5.728567888162199306e-01 5.583339816199607286e-01
4.599999999999999922e-02 2.901577863026776338e-01 2.753333598529783544e-01 5.731679558072872993e-01 5.580085160959211699e-01
4.700000000000000011e-02 2.904338998549298445e-01 2.750420873522025356e-01 5.734858522588988095e-01 5.576754049923938750e-01
4.800000000000000100e-02 2.907161708485110352e-01 2.747437133169371992e-01 5.738104913178583288e-01 5.573345937748857004e-01
4.900000000000000189e-02 2.910045958327150406e-01 2.744381992439066109e-01 5.741418862491518560e-01 5.569860266566092344e-01
5.000000000000000278e-02 2.912991712325118665e-01 2.741255056342837837e-01 5.744800504173795952e-01 5.566296466023152867e-01
5.100000000000000366e-02 2.915998933433454621e-01 2.738055919848050301e-01 5.748249972676370279e-01 5.562653953322447276e-01
5.200000000000000455e-02 2.919067583257807241e-01 2.734784167786084574e-01 5.751767403058374306e-01 5.558932133262013409e-01
5.299999999999999850e-02 2.922197621999966244e-01 2.731439374757884675e-01 5.755352930784661813e-01 5.555130398277472459e-01
5.399999999999999939e-02 2.925389008401222957e-01 2.728021105036636529e-01 5.759006691517539744e-01 5.551248128485248845e-01
5.500000000000000028e-02 2.928641699684126354e-01 2.724528912467488184e-01 5.762728820902607296e-01 5.547284691727101258e-01
5.600000000000000117e-02 2.931955651492600401e-01 2.720962340364269649e-01 5.766519454348564278e-01 5.543239443615958217e-01
5.700000000000000205e-02 2.935330817830401062e-01 2.717320921403121314e-01 5.770378726800888813e-01 5.539111727583136968e-01
5.800000000000000294e-02 2.938767150997854682e-01 2.713604177512990434e-01 5.774306772509265606e-01 5.534900874926951264e-01
5.900000000000000383e-02 2.942264601526857759e-01 2.709811619762894086e-01 5.778303724788607099e-01 5.530606204862762443e-01
5.999999999999999778e-02 2.945823118114092587e-01 2.705942748245898644e-01 5.782369715773584273e-01 5.526227024574503766e-01
6.099999999999999867e-02 2.949442647552419916e-01 2.701997051959711960e-01 5.786504876166502775e-01 5.521762629267743527e-01
6.199999999999999956e-02 2.953123134660399773e-01 2.697974008683837743e-01 5.790709334978385581e-01 5.517212302224299147e-01
6.300000000000000044e-02 2.956864522209909363e-01 2.693873084853175004e-01 5.794983219263133423e-01 5.512575314858485509e-01
6.400000000000000133e-02 2.960666750851796980e-01 2.689693735428006494e-01 5.799326653844594226e-01 5.507850926775026412e-01
6.500000000000000222e-02 2.964529759039530865e-01 2.685435403760258466e-01 5.803739761036403877e-01 5.503038385828690204e-01
6.600000000000000311e-02 2.968453482950798583e-01 2.681097521455956811e-01 5.808222660354427358e-01 5.498136928185710648e-01
6.700000000000000400e-02 2.972437856406993650e-01 2.676679508233774096e-01 5.812775468221637043e-01 5.493145778387047429e-01
